service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS42025-hbc45fr1-Weekday-02,0,0,0,0,1,0,0,20251031,20251212
BUS42025-hbc45wk1-Weekday-02,1,1,1,1,0,0,0,20251028,20251211
BUS42025-hbg45fr1-Weekday-02,0,0,0,0,1,0,0,20251031,20251212
BUS42025-hbg45wk1-Weekday-02,1,1,1,1,0,0,0,20251028,20251211
BUS42025-hbs45fr1-Weekday-02,0,0,0,0,1,0,0,20251031,20251212
BUS42025-hbs45sp1-Weekday-02,1,1,1,0,0,0,0,20251124,20251126
BUS42025-hbs45sp6-Saturday-02,0,0,0,0,0,1,0,20251122,20251129
BUS42025-hbs45sp7-Sunday-02,0,0,0,0,0,0,1,20251123,20251130
BUS42025-hbs45sw1-Weekday-02,1,1,1,1,0,0,0,20251028,20251211
BUS42025-hbs45sw6-Saturday-02,0,0,0,0,0,1,0,20251101,20251115
BUS42025-hbs45sw7-Sunday-02,0,0,0,0,0,0,1,20251102,20251116
BUS42025-shu45al6-Saturday-01,0,0,0,0,0,1,0,20251101,20251101
BUS42025-shu45al7-Sunday-01,0,0,0,0,0,0,1,20251102,20251102
Boat-EastBoston-Saturday-Fall-25,0,0,0,0,0,1,0,20251101,20251129
Boat-EastBoston-Sunday-Summer-25,0,0,0,0,0,0,1,20251102,20251130
Boat-EastBoston-Weekday-Fall-25,1,1,1,1,1,0,0,20251028,20251126
Boat-F1-Weekday-Fall-25,1,1,1,1,1,0,0,20251028,20251212
Boat-F4-Saturday-Fall-25,0,0,0,0,0,1,0,20251101,20251213
Boat-F4-Sunday-Fall-25,0,0,0,0,0,0,1,20251207,20251207
Boat-F4-Sunday-Summer-25,0,0,0,0,0,0,1,20251102,20251130
Boat-F4-Weekday-Fall-25,1,1,1,1,1,0,0,20251028,20251212
CR-BackBayFraminghamExpressFallSaturday,0,0,0,0,0,1,0,20251101,20251108
CR-BackBayFraminghamExpressFallSunday,0,0,0,0,0,0,1,20251102,20251109
CR-BackBayWellesleyHillsLocalFallSunday,0,0,0,0,0,0,1,20251102,20251109
CR-BckBWllHlsLclFllStd,0,0,0,0,0,1,0,20251101,20251108
CR-FraminghamSouthStationFallSaturday,0,0,0,0,0,1,0,20251101,20251108
CR-FraminghamSouthStationFallSunday,0,0,0,0,0,0,1,20251102,20251109
CR-NECEmergencyShuttle-Fall-Weekday,1,1,1,1,1,0,0,20251028,20251212
CR-SthStnWllHlsLclFllSnd,0,0,0,0,0,0,1,20251102,20251109
CR-SthStnWllHlsLclFllStd,0,0,0,0,0,1,0,20251101,20251108
DayafterThanksgivingDay,0,0,0,0,0,0,0,20251128,20251128
FALL 2025-NORTHSS-Weekend-1,0,0,0,0,0,1,1,20251108,20251213
FALL 2025-NORTHSS-Weekend-1-S6561ad1d,0,0,0,0,0,1,1,20251108,20251213
FALL 2025-NORTHSS-Weekend-1-S7d8482ee,0,0,0,0,0,1,1,20251108,20251213
FALL 2025-NORTHSS-Weekend-1-S9d378dcf,0,0,0,0,0,1,1,20251108,20251213
FALL 2025-NORTHSS-Weekend-6,0,0,0,0,0,1,1,20251101,20251102
FALL 2025-NORTHSS-Weekend-6-S6561ad1d,0,0,0,0,0,1,1,20251101,20251102
FALL 2025-NORTHSS-Weekend-6-S7d8482ee,0,0,0,0,0,1,1,20251101,20251102
FALL 2025-NORTHSS-Weekend-6-S9d378dcf,0,0,0,0,0,1,1,20251101,20251102
FALL 2025-NORTHWKD-Weekday-1,1,1,1,1,1,0,0,20251028,20251212
FALL 2025-NORTHWKD-Weekday-1-S6561ad1d,1,1,1,1,1,0,0,20251028,20251212
FALL 2025-NORTHWKD-Weekday-1-S7d8482ee,1,1,1,1,1,0,0,20251028,20251212
FALL 2025-NORTHWKD-Weekday-1-S9d378dcf,1,1,1,1,1,0,0,20251028,20251212
FALL 2025-SOUTHSS-Weekend-1,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-1-S85407dc6,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-1-Sb0e4ed14,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-1-Sb7371956,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-1-Sc9a3b080,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-1-Scbbf1ea5,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-1-Sd88ed885,0,0,0,0,0,1,1,20251115,20251213
FALL 2025-SOUTHSS-Weekend-7,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHSS-Weekend-7-S85407dc6,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHSS-Weekend-7-Sb0e4ed14,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHSS-Weekend-7-Sb7371956,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHSS-Weekend-7-Sc9a3b080,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHSS-Weekend-7-Scbbf1ea5,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHSS-Weekend-7-Sd88ed885,0,0,0,0,0,1,1,20251101,20251109
FALL 2025-SOUTHWKD-Weekday-5A,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-5A-S85407dc6,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-5A-Sb0e4ed14,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-5A-Sb7371956,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-5A-Sc9a3b080,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-5A-Scbbf1ea5,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-5A-Sd88ed885,1,1,1,1,1,0,0,20251028,20251114
FALL 2025-SOUTHWKD-Weekday-60PM,1,0,0,1,0,0,0,20251113,20251113
Fall/WinterWeekday,1,1,1,1,1,0,0,20251117,20251212
FallSaturday,0,0,0,0,0,1,0,20251101,20251213
FallSunday,0,0,0,0,0,0,1,20251102,20251207
FallWeekday,1,1,1,1,1,0,0,20251028,20251212
Green-E-23-Friday-92e95,0,0,0,0,1,0,0,20251107,20251107
Green-E-23-Saturday-92e95,0,0,0,0,0,1,0,20251108,20251108
Green-E-23-Sunday-92e95,0,0,0,0,0,0,1,20251109,20251109
Green-E-23-Weekday-92e95,1,1,1,1,0,0,0,20251105,20251113
Green-E-23-Weekday-9988b,0,1,0,0,0,0,0,20251104,20251104
LRV42025-hlb45011-Weekday-01,1,1,1,1,0,0,0,20251117,20251211
LRV42025-hlb45016-Saturday-01,0,0,0,0,0,1,0,20251101,20251213
LRV42025-hlb45017-Sunday-01,0,0,0,0,0,0,1,20251102,20251207
LRV42025-hlb45fk1-Weekday-01,0,0,0,0,1,0,0,20251031,20251031
LRV42025-hlb45fr1-Weekday-01,0,0,0,0,1,0,0,20251114,20251212
LRV42025-hlb45rk1-Weekday-01,0,1,1,1,0,0,0,20251028,20251030
LRV42025-hlm45011-Weekday-01,1,1,1,1,0,0,0,20251028,20251211
LRV42025-hlm45fr1-Weekday-01,0,0,0,0,1,0,0,20251031,20251212
LRV425-hlb45011-Wdy-01-05c75633,0,1,0,0,0,0,0,20251104,20251104
LRV425-hlb45011-Wdy-01-8841168b,1,1,1,1,0,0,0,20251105,20251113
LRV425-hlb45016-Sa-01-8841168b,0,0,0,0,0,1,0,20251108,20251108
LRV425-hlb45017-Su-01-8841168b,0,0,0,0,0,0,1,20251109,20251109
LRV425-hlb45fr1-Wdy-01-8841168b,0,0,0,0,1,0,0,20251107,20251107
PRIV42025-hpa45011-Weekday-01,1,1,1,1,1,0,0,20251028,20251212
PRIV42025-hpj45011-Weekday-01,1,1,1,1,1,0,0,20251028,20251212
PRIV42025-hpj45017-Sunday-01,0,0,0,0,0,0,1,20251102,20251207
RTL42025-hmb45011-Weekday-01,1,1,1,1,0,0,0,20251028,20251211
RTL42025-hmb45fr1-Weekday-01,0,0,0,0,1,0,0,20251031,20251212
RTL42025-hmo45011-Weekday-01,1,1,1,1,0,0,0,20251028,20251211
RTL42025-hmo45016-Saturday-01,0,0,0,0,0,1,0,20251108,20251213
RTL42025-hmo45017-Sunday-01,0,0,0,0,0,0,1,20251109,20251207
RTL42025-hmo45fr1-Weekday-01,0,0,0,0,1,0,0,20251031,20251212
RTL42025-hmo45nf6-Saturday-01,0,0,0,0,0,1,0,20251101,20251101
RTL42025-hmo45nf7-Sunday-01,0,0,0,0,0,0,1,20251102,20251102
RTL42025-hms45011-Weekday-01,1,1,1,1,0,0,0,20251028,20251211
RTL42025-hms45fr1-Weekday-01,0,0,0,0,1,0,0,20251031,20251212
SPRING2025-NORTHSS-Weekend-22,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-NORTHSS-Weekend-22-S6561ad1d,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-NORTHSS-Weekend-22-S7d8482ee,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-NORTHSS-Weekend-22-S9d378dcf,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A-S86,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A-Sb4,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A-Sb6,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A-Sc0,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A-Sc5,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-31A-Sd5,0,0,0,0,0,0,0,20251127,20251127
SPRING2025-SOUTHSS-Weekend-66,0,0,0,0,0,0,1,20251102,20251102
Spring/SummerWeekday,1,1,1,1,1,0,0,20251028,20251126
ThanksgivingDay,0,0,0,0,0,0,0,20251127,20251127
VeteransDay,0,0,0,0,0,0,0,20251111,20251111
VeteransDay-DayafterThanksgivingDay,0,0,0,0,0,0,0,20251111,20251128
canonical,0,0,0,0,0,0,0,20251028,20251213
fare_regular,1,1,1,1,1,1,1,20251028,20251213
